"","cell","type","age"
"137","s_dot_ogp41","qNSC2","old"
"138","s_dot_ogp15","qNSC2","old"
"139","s_dot_ogp71","qNSC2","old"
"140","s_dot_ogp45","qNSC2","old"
"141","s_dot_ogp2_dot_2","qNSC2","old"
"142","s_dot_ogp3","qNSC2","old"
"143","s_dot_ogp12","qNSC2","old"
"144","s_dot_ogp2_dot_11","qNSC2","old"
"145","s_dot_ogp2_dot_87","qNSC2","old"
"146","s_dot_ogp22","qNSC2","old"
"147","s_dot_ogp2_dot_41","qNSC2","old"
"148","s_dot_ogp2_dot_38","qNSC2","old"
"149","s_dot_ogp2_dot_39","qNSC2","old"
"150","s_dot_ogp27","qNSC2","old"
"151","N_GP_17B","qNSC1","young"
"152","N_GP_3","qNSC1","young"
"153","N_GP_19","qNSC1","young"
"154","N_GP_13","qNSC1","young"
"155","N_GP_11","qNSC1","young"
"156","N_GP_21B","qNSC1","young"
"157","N_GP_47","qNSC1","young"
"158","N_GP_51","qNSC1","young"
"159","N_GP_14","qNSC1","young"
"160","N_GP_11B","qNSC1","young"
"161","N25","qNSC1","young"
"162","N_GP_44","qNSC1","young"
"163","N_GP_33S","qNSC1","young"
"164","N35","qNSC1","young"
"165","N48","qNSC1","young"
"166","N_GP_55","qNSC1","young"
"167","N_GP_39S","qNSC1","young"
"168","N_GP_4B","qNSC1","young"
"169","N_GP_27","qNSC1","young"
"170","N_GP_2B","qNSC1","young"
"171","N_GP_34S","qNSC1","young"
"172","N_GP_28B","qNSC1","young"
"173","N_GP_22B","qNSC1","young"
"174","N_GP_23","qNSC1","young"
"175","N_GP_22","qNSC1","young"
"176","N_GP_30B","qNSC1","young"
"177","N_GP_43","qNSC1","young"
"178","N_GP_48","qNSC1","young"
"179","N_GP_20B","qNSC1","young"
"180","N_GP_27B","qNSC1","young"
"181","N_GP_31","qNSC1","young"
"182","N26","qNSC1","young"
"183","N28","qNSC1","young"
"184","N_GP_24","qNSC1","young"
"185","N_GP_23B","qNSC1","young"
"186","N_GP_15B","qNSC1","young"
"187","N_GP_5B","qNSC1","young"
"188","N33","qNSC2","young"
"189","N_GP_20","qNSC2","young"
"190","N46","qNSC2","young"
"191","N_GP_46","qNSC2","young"
"192","N_GP_16B","qNSC2","young"
"193","N_GP_28","qNSC2","young"
"194","N_GP_50","qNSC2","young"
"195","N_GP_7B","qNSC2","young"
"196","N_GP_9","qNSC2","young"
"197","N_GP_7","qNSC2","young"
"198","N_GP_45","qNSC2","young"
"199","N_GP_38S","qNSC2","young"
"200","N_GP_25","qNSC2","young"
"201","N_GP_14B","qNSC2","young"
"202","N_GP_2","qNSC2","young"
"203","N_GP_6","qNSC2","young"
"204","N45","qNSC2","young"
"205","N_GP_31B","qNSC2","young"
"206","N11","qNSC2","young"
"207","N_GP_40S","qNSC2","young"
"208","N_GP_19B","qNSC2","young"
"209","N_GP_12","qNSC2","young"
"210","N_GP_3B","qNSC2","young"
"211","N5","aNSC1","young"
"212","N_GP_6B","aNSC1","young"
"213","N18","aNSC1","young"
"214","N_GP_53","aNSC1","young"
"215","N_GP_5","aNSC1","young"
"216","N_GP_16","aNSC1","young"
"217","N_GP_30","aNSC1","young"
"218","N_GP_42","aNSC1","young"
"219","N7","aNSC1","young"
"220","N29","aNSC1","young"
"221","N_GP_18B","aNSC1","young"
"222","N24","aNSC1","young"
"223","N_GP_32B","aNSC1","young"
"224","N_GP_15","aNSC1","young"
"225","N_GP_29B","aNSC1","young"
"226","N_GP_12B","aNSC2","young"
"227","N_GP_8B","aNSC2","young"
"228","N_GP_32","aNSC2","young"
"229","N2","aNSC2","young"
"230","N37","aNSC2","young"
"231","N_GP_18","aNSC2","young"
"232","N_GP_35S","aNSC2","young"
"233","N17","aNSC2","young"
"234","N27","aNSC2","young"
"235","N34","aNSC2","young"
"236","N42","aNSC2","young"
"237","N_GP_1","aNSC2","young"
"238","N_GP_1B","aNSC2","young"
"239","N_GP_10B","aNSC2","young"
"240","N_GP_13B","aNSC2","young"
"241","N_GP_26B","aNSC2","young"
"242","N1","aNSC2","young"
"243","str42","Astro","young"
"244","str40","Astro","young"
"245","str35","Astro","young"
"246","str33","Astro","young"
"247","str27","Astro","young"
"248","ctx8","Astro","young"
"249","ctx7","Astro","young"
"250","ctx6","Astro","young"
"251","ctx5","Astro","young"
"252","ctx3","Astro","young"
"253","ctx23","Astro","young"
"254","ctx22","Astro","young"
"255","ctx21","Astro","young"
"256","ctx20","Astro","young"
"257","ctx2","Astro","young"
"258","ctx19","Astro","young"
"259","ctx18","Astro","young"
"260","ctx17","Astro","young"
"261","ctx16","Astro","young"
"262","ctx12","Astro","young"
"263","ctx11","Astro","young"
"264","ctx1","Astro","young"
