"","cell_name"
"1","ik5"
"2","ik_7"
"3","ik_11"
"4","ik_10"
"5","ik_17"
"6","ik_40"
"7","ik_36"
"8","ik_18"
"9","ik_26"
"10","ik_41"
"11","ik_14"
"12","ik_19"
"13","ik4"
"14","ik_42"
"15","ik_25"
"16","ik_31"
"17","ik_28"
"18","ik_9"
"19","ik_20"
"20","ik_43"
"21","ik_8"
"22","Ik1"
"23","ik_39"
"24","Ik3"
"25","ik_30"
"26","ik_13"
"27","ik_24"
"28","ik_27"
"29","ik_23"
"30","ik_29"
"31","ik_34"
"32","ik_33"
"33","ik_44"
"34","ik_21"
"35","ik_15"
