age,genotype,active,active_std,weight
660,ifnko,0.392857142857143,0.03933978962347238,646.1538461538389
660,ifnko,0.428571428571429,0.03933978962347238,646.1538461538389
660,ifnko,0.35,0.03933978962347238,646.1538461538389
60,ifnko,0.333333333333333,0.009887961521475135,10227.899796885538
60,ifnko,0.352941176470588,0.009887961521475135,10227.899796885538
60,ifnko,0.340909090909091,0.009887961521475135,10227.899796885538
