t,active,counts,b,r
0,0.3502509613939199,2499.999999439649,0.4454567564592476,0.49284875558201297
0.1288139384298598,0.3502498673988239,2488.338908049649,0.4455472039476105,0.49284875558201297
0.2576278768597196,0.3502464613953828,2476.7514866421275,0.4456375014495109,0.49284875558201297
0.4323450975374662,0.3502388835111463,2461.1508967375585,0.445759737533994,0.4928487555820129
0.6457785000748901,0.3502259379185852,2442.2733981789684,0.44590868743056666,0.4928487555820129
0.9043033054926117,0.35020621233377475,2419.669915428113,0.4460885578244055,0.4928487555820129
1.2093862357124312,0.3501789355404458,2393.3602311135714,0.4463000521041578,0.49284875558201285
1.5627248855962232,0.35014380600324574,2363.374067396146,0.44654396224946485,0.4928487555820128
1.9648962475459395,0.3501010254055735,2329.8647734950337,0.4468202338551546,0.4928487555820128
2.4158019856097868,0.3500511129329773,2293.0635113596236,0.44712828605106636,0.49284875558201274
2.9146763467755554,0.3499947394512586,2253.270099751806,0.4474670308460298,0.4928487555820127
3.4602274275400298,0.34993259249405895,2210.8321791447247,0.44783498607767636,0.49284875558201263
4.050748689016292,0.34986530713482467,2166.1273483701216,0.44823036800948163,0.4928487555820126
4.684233593974036,0.34979344686134267,2119.5461570534862,0.4486511849919944,0.4928487555820125
5.358476710058106,0.3497175119664541,2071.4777067995387,0.44909531997806845,0.49284875558201247
6.071162029504463,0.3496379552437947,2022.2979784151594,0.4495606018930533,0.4928487555820124
6.819935892850903,0.3495551948201449,1972.3610705381577,0.4500448639156783,0.49284875558201235
7.602465743805805,0.3494696213196146,1921.993105702155,0.4505459895444919,0.49284875558201224
8.416485098504834,0.3493816006150136,1871.4885295557558,0.45106194695372853,0.4928487555820122
9.259826857759073,0.34929147413038175,1821.1083671810193,0.4515908133928828,0.49284875558201213
10.130445954489185,0.3491995583689187,1771.0800698601024,0.4521307907084779,0.492848755582012
11.026434024683434,0.3491061444886662,1721.5985013903437,0.45268021414483983,0.49284875558201197
11.946027041726833,0.3490114983558826,1672.8277610740815,0.4532375554412085,0.49284875558201185
12.88760800069309,0.34891586106925176,1624.9035168028504,0.45380142190852607,0.4928487555820118
13.849705080284235,0.34881944998256037,1577.9356601379782,0.45437055209144384,0.4928487555820117
14.83098736279546,0.3487224599874306,1532.0110498906884,0.45494380955981756,0.4928487555820116
15.83025862737051,0.3486250650075068,1487.1962344316364,0.4555201753504117,0.4928487555820115
16.84644927685793,0.3485274196461327,1443.540090122316,0.4560987392819069,0.4928487555820114
17.878608158627415,0.34842966081341004,1401.0762592476106,0.4566786913001938,0.4928487555820113
18.925893522457848,0.34833190938162173,1359.8254074839103,0.45725931250754004,0.49284875558201124
19.98756444415351,0.3482342717298552,1319.797240361715,0.4578399666955345,0.49284875558201113
21.062971973269825,0.34813684126277095,1280.9923163568071,0.45842009200264494,0.4928487555820111
22.151550863622866,0.34803969979419513,1243.403634100001,0.45899919319776566,0.49284875558201097
23.25281203152328,0.3479429188019942,1207.018007107396,0.45957683466038424,0.4928487555820109
24.36633488906667,0.3478465606411379,1171.8172732458231,0.46015263360096637,0.4928487555820108
25.4917608256302,0.3477506795737641,1137.7793132967074,0.4607262541863827,0.4928487555820107
26.628787026497484,0.34765532273491817,1104.8789256112793,0.4612974021164543,0.4928487555820106
27.777160708657405,0.3475605309943427,1073.0885700049203,0.46186581968049784,0.49284875558201047
28.93667402943652,0.3474663397205575,1042.3789895482134,0.4624312814005907,0.49284875558201036
30.107159699864653,0.34737277944099365,1012.7197251281965,0.46299359024494063,0.49284875558201025
31.288486443053266,0.3472798764758005,984.0795583192546,0.4635525739731605,0.49284875558201013
32.48055562908863,0.3471876534439981,956.426859106735,0.4641080822372137,0.49284875558201
33.683297798297396,0.3470961297424597,929.7298823677102,0.4646599837919466,0.4928487555820099
34.89666957985171,0.3470053219700784,903.9570079719936,0.4652081640472356,0.4928487555820098
36.12065143546053,0.34691524425802234,879.0769238898863,0.4657525231304353,0.4928487555820097
37.35524506307209,0.34682590860690427,855.0587844643252,0.4662929739112716,0.4928487555820096
38.600471364007795,0.3467373251727268,831.8723291160039,0.46682944039051844,0.49284875558200947
39.85636877126761,0.34664950249318055,809.48797167915,0.4673618563384624,0.49284875558200936
41.122991456353525,0.3465624477018078,787.8768733031541,0.4678901639647397,0.49284875558200925
42.40040823838722,0.3464761667180975,767.0109874041182,0.46841431295920666,0.49284875558200913
43.6887010474062,0.34639066440658245,746.8630998883867,0.4689342594097671,0.492848755582009
44.98796405531984,0.34630594471684567,727.4068476908278,0.4694499650552463,0.4928487555820089
46.29830273663872,0.3462220108035731,708.6167306324597,0.4699613965554162,0.49284875558200875
47.61983299826291,0.3461388651339312,690.4681154466138,0.4704685248335565,0.49284875558200864
48.95268053447045,0.3460565095782612,672.937231281388,0.4709713245458653,0.4928487555820085
50.296980335034796,0.3459749454970102,656.0011591900673,0.4714697736401846,0.4928487555820084
51.652875950899066,0.3458941738019167,639.6378216022656,0.4719638528536474,0.4928487555820083
53.020519314015836,0.3458141950182688,623.8259623019667,0.4724535454421509,0.49284875558200814
54.40007027605198,0.34573500934004214,608.5451284197434,0.4729388368253347,0.492848755582008
55.791696260574916,0.3456566166774518,593.7756496954574,0.47341971429420804,0.4928487555820079
57.19557214790603,0.3455790166896028,579.4986144612242,0.47389616681609925,0.49284875558200775
58.61188016888766,0.34550220881464266,565.6958454157514,0.4743681848527203,0.49284875558200764
60.0408095208959,0.34542619231590205,552.3498779977132,0.4748357600978891,0.4928487555820075
61.482556407563045,0.34535096629878914,539.4439345492154,0.4752988853696206,0.49284875558200736
