age,genotype,active,active_std,weight
660,wt,0.234042553191489,0.03845102436619351,676.3697430857053
660,wt,0.15,0.03845102436619351,676.3697430857053
660,wt,0.2,0.03845102436619351,676.3697430857053
660,wt,0.228571428571429,0.03845102436619351,676.3697430857053
60,wt,0.586206896551724,0.15402995825253496,42.14922606199936
60,wt,0.467741935483871,0.15402995825253496,42.14922606199936
60,wt,0.280701754385965,0.15402995825253496,42.14922606199936
