gene,total_wt1_IFNb,total_wt1,total_wt2_IFNb,total_wt2,total_wt3_IFNb,total_wt3,total_wt4_IFNb,total_wt4
ENSMUSG00000088916,0,0,0,0,0,0,0,0
ENSMUSG00000046101,0,1,1,2,0,1,0,0
ENSMUSG00000098234,210,245,220,161,360,46,140,200
ENSMUSG00000093178,14,25,16,1,12,3,19,28
ENSMUSG00000099032,3,3,2,3,3,1,2,2
ENSMUSG00000104025,1,0,0,2,0,0,3,0
ENSMUSG00000025916,0,0,0,0,1,0,0,0
ENSMUSG00000087199,0,0,0,0,0,0,0,0
ENSMUSG00000095780,0,0,0,0,0,0,0,0
ENSMUSG00000025917,281,207,214,192,487,40,188,278
ENSMUSG00000056763,137,129,140,111,164,34,88,144
ENSMUSG00000102356,0,2,0,0,1,0,2,3
ENSMUSG00000067851,311,250,301,297,418,50,175,250
ENSMUSG00000088153,0,0,0,0,1,0,0,0
ENSMUSG00000102556,0,1,1,1,1,0,1,3
ENSMUSG00000042501,0,0,0,0,0,0,0,0
ENSMUSG00000103810,0,0,0,0,0,0,0,0
ENSMUSG00000083422,0,2,0,0,0,0,0,0
ENSMUSG00000094979,0,0,0,0,0,0,0,0
ENSMUSG00000081417,1,0,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0,0,0
ENSMUSG00000100648,11,20,16,2,9,4,9,4
ENSMUSG00000088585,0,0,0,0,0,0,0,0
ENSMUSG00000048960,1,1,1,0,2,0,1,4
ENSMUSG00000077318,0,0,0,0,0,0,0,0
ENSMUSG00000101827,8,7,4,1,6,2,4,2
ENSMUSG00000103494,0,0,0,0,0,0,0,0
ENSMUSG00000057715,0,0,0,1,0,0,0,0
ENSMUSG00000103825,0,0,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0,0,0
ENSMUSG00000101610,2,0,1,0,3,0,0,0
ENSMUSG00000093864,2,12,7,1,10,0,1,6
ENSMUSG00000098555,0,0,0,0,0,0,0,0
ENSMUSG00000097628,8,4,4,4,13,2,3,2
ENSMUSG00000098163,0,2,1,0,1,0,0,0
ENSMUSG00000097171,0,0,1,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0,0,0
ENSMUSG00000016918,162,51,108,40,284,18,212,113
ENSMUSG00000025938,109,64,173,60,204,17,89,80
ENSMUSG00000104518,0,0,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0,0,0
ENSMUSG00000042414,0,0,0,0,0,0,0,0
ENSMUSG00000005886,454,463,554,587,610,125,301,436
ENSMUSG00000103506,1,3,2,1,6,2,4,5
ENSMUSG00000103495,0,1,0,2,2,1,0,0
ENSMUSG00000099183,0,0,0,0,0,1,1,0
ENSMUSG00000102639,0,3,0,2,2,0,0,0
ENSMUSG00000104170,0,1,0,4,3,0,2,1
ENSMUSG00000087782,0,0,0,0,0,0,0,0
ENSMUSG00000103085,2,7,3,10,9,2,6,18
ENSMUSG00000102664,0,1,1,1,0,0,2,11
ENSMUSG00000101476,0,0,0,0,0,0,0,0
ENSMUSG00000101171,0,1,0,0,0,0,0,0
ENSMUSG00000025935,2265,2652,2203,1557,2861,555,1394,1853
ENSMUSG00000025937,110,108,83,81,135,18,60,70
ENSMUSG00000102982,1,1,2,5,3,0,1,1
ENSMUSG00000067813,1,0,0,0,0,0,1,0
ENSMUSG00000077368,0,0,0,0,0,0,0,0
ENSMUSG00000097711,9,11,9,2,10,1,3,1
ENSMUSG00000102166,2,7,2,1,5,1,1,2
ENSMUSG00000089358,0,0,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0,0,0
ENSMUSG00000025932,53,55,45,65,32,24,34,69
ENSMUSG00000095853,0,0,0,0,0,0,0,0
ENSMUSG00000102588,0,0,0,0,0,0,0,0
ENSMUSG00000054493,0,0,0,0,0,0,0,0
ENSMUSG00000025930,1,0,1,1,0,0,0,1
ENSMUSG00000103492,0,0,0,0,0,0,0,0
ENSMUSG00000081201,0,0,0,1,0,0,0,1
ENSMUSG00000082193,4,2,0,1,4,0,0,0
ENSMUSG00000032769,0,0,0,0,0,0,0,0
ENSMUSG00000088159,0,0,0,0,0,0,0,0
ENSMUSG00000073737,2,0,2,0,2,0,0,0
