,gene_name,gene_id
3009,Git1,ENSMUSG00000011877.13
3010,Trp53i13,ENSMUSG00000044328.13
3011,Abhd15,ENSMUSG00000000686.11
3012,Taok1,ENSMUSG00000017291.13
3013,Nufip2,ENSMUSG00000037857.16
3014,Myo18a,ENSMUSG00000000631.20
3015,Pipox,ENSMUSG00000017453.4
3016,Gm11190,ENSMUSG00000055045.5
3017,Sez6,ENSMUSG00000000632.13
3018,Phf12,ENSMUSG00000037791.15
3019,Dhrs13os,ENSMUSG00000087050.1
3020,Dhrs13,ENSMUSG00000020834.17
3021,Flot2,ENSMUSG00000061981.14
3022,Eral1,ENSMUSG00000020832.14
3023,Fam222b,ENSMUSG00000037750.16
3024,Traf4,ENSMUSG00000017386.10
3025,Nek8,ENSMUSG00000017405.14
3026,Tlcd1,ENSMUSG00000019437.17
3027,Rpl23a,ENSMUSG00000058546.8
3028,Rab34,ENSMUSG00000002059.18
3029,Proca1,ENSMUSG00000044122.14
3030,Supt6,ENSMUSG00000002052.6
3031,Sdf2,ENSMUSG00000002064.10
3032,2610507B11Rik,ENSMUSG00000010277.7
3033,Rskr,ENSMUSG00000037593.12
3034,Gm3948,ENSMUSG00000087295.1
3035,Spag5,ENSMUSG00000002055.9
3036,Aldoc,ENSMUSG00000017390.15
3037,Pigs,ENSMUSG00000041958.10
3038,Unc119,ENSMUSG00000002058.13
3039,Gm11195,ENSMUSG00000086380.1
3040,Slc46a1,ENSMUSG00000020829.9
3041,Sarm1,ENSMUSG00000050132.13
3042,Vtn,ENSMUSG00000017344.4
3043,Sebox,ENSMUSG00000001103.7
3044,Tmem199,ENSMUSG00000051232.13
3045,Poldip2,ENSMUSG00000001100.10
3046,Tnfaip1,ENSMUSG00000017615.12
3047,Ift20,ENSMUSG00000001105.15
3048,Tmem97,ENSMUSG00000037278.9
3049,Nlk,ENSMUSG00000017376.15
3050,Ccnq,ENSMUSG00000049489.5
3051,Lyrm9,ENSMUSG00000072640.11
3052,Nos2,ENSMUSG00000020826.9
3053,Lgals9,ENSMUSG00000001123.15
3054,Ksr1,ENSMUSG00000018334.18
3055,Wsb1,ENSMUSG00000017677.11
3056,Nf1,ENSMUSG00000020716.16
3057,Omg,ENSMUSG00000049612.10
3058,Evi2a,ENSMUSG00000078771.10
3059,Rab11fip4,ENSMUSG00000017639.13
3060,Gm11205,ENSMUSG00000084969.1
3061,Utp6,ENSMUSG00000035575.11
3062,Suz12,ENSMUSG00000017548.15
3063,Crlf3,ENSMUSG00000017561.16
3064,Atad5,ENSMUSG00000017550.14
3065,Tefm,ENSMUSG00000046909.9
3066,Adap2,ENSMUSG00000020709.15
3067,Rnf135,ENSMUSG00000020707.6
3068,Rhot1,ENSMUSG00000017686.17
3069,Rhbdl3,ENSMUSG00000017692.8
3070,5730455P16Rik,ENSMUSG00000057181.15
3071,Zfp207,ENSMUSG00000017421.18
3072,Psmd11,ENSMUSG00000017428.16
3073,Cdk5r1,ENSMUSG00000048895.13
3074,Myo1d,ENSMUSG00000035441.14
3075,Tmem98,ENSMUSG00000035413.8
3076,Asic2,ENSMUSG00000020704.13
3077,5530401A14Rik,ENSMUSG00000020703.3
3078,Ccl2,ENSMUSG00000035385.5
3079,Ccl7,ENSMUSG00000035373.2
3080,Ccl11,ENSMUSG00000020676.2
3081,Ccl12,ENSMUSG00000035352.3
3082,Ccl1,ENSMUSG00000020702.13
3083,Tmem132e,ENSMUSG00000020701.12
3084,Cct6b,ENSMUSG00000020698.11
3085,Zfp830,ENSMUSG00000046010.7
3086,Gm11423,ENSMUSG00000085175.7
3087,Lig3,ENSMUSG00000020697.16
3088,Rffl,ENSMUSG00000020696.18
3089,Rad51d,ENSMUSG00000018841.17
3090,Fndc8,ENSMUSG00000018844.6
3091,Nle1,ENSMUSG00000020692.14
3092,Unc45b,ENSMUSG00000018845.14
3093,Unc45bos,ENSMUSG00000086058.1
3094,Slfn5,ENSMUSG00000054404.13
3095,1190001M18Rik,ENSMUSG00000111857.1
3096,Slfn9,ENSMUSG00000069793.12
3097,Slfn8,ENSMUSG00000035208.16
3098,Slfn2,ENSMUSG00000072620.3
3099,Slfn3,ENSMUSG00000018986.10
3100,AI662270,ENSMUSG00000087107.8
3101,Slfn14,ENSMUSG00000082101.3
3102,AA465934,ENSMUSG00000093483.1
3103,Pex12,ENSMUSG00000018733.10
3104,Ap2b1,ENSMUSG00000035152.14
3105,Rasl10b,ENSMUSG00000020684.14
3106,Gas2l2,ENSMUSG00000020686.12
3107,1700020L24Rik,ENSMUSG00000035085.5
3108,Mmp28,ENSMUSG00000020682.17
3109,Taf15,ENSMUSG00000020680.15
3110,Heatr9,ENSMUSG00000018925.3
3111,Ccl5,ENSMUSG00000035042.2
3112,Ccl9,ENSMUSG00000019122.8
3113,E230016K23Rik,ENSMUSG00000051832.7
3114,Ccl6,ENSMUSG00000018927.3
3115,Rpl9-ps1,ENSMUSG00000081906.2
3116,Ccl3,ENSMUSG00000000982.5
3117,Ccl4,ENSMUSG00000018930.3
3118,Wfdc17,ENSMUSG00000069792.5
3119,Wfdc18,ENSMUSG00000000983.13
3120,Wfdc21,ENSMUSG00000051748.2
3121,Heatr6,ENSMUSG00000000976.13
3122,Ddx52,ENSMUSG00000020677.7
3123,Synrg,ENSMUSG00000034940.15
3124,Dusp14,ENSMUSG00000018648.15
3125,Tada2a,ENSMUSG00000018651.14
3126,Acaca,ENSMUSG00000020532.18
3127,Gm11437,ENSMUSG00000051452.8
3128,Aatf,ENSMUSG00000018697.14
3129,Lhx1,ENSMUSG00000018698.15
3130,Lhx1os,ENSMUSG00000087211.7
3131,Mrm1,ENSMUSG00000018405.7
3132,Dhrs11,ENSMUSG00000034449.7
3133,4930502E09Rik,ENSMUSG00000086799.1
3134,Ggnbp2,ENSMUSG00000020530.14
3135,Pigw,ENSMUSG00000045140.8
3136,Myo19,ENSMUSG00000020527.14
3137,Znhit3,ENSMUSG00000020526.12
3138,Car4,ENSMUSG00000000805.18
3139,Usp32,ENSMUSG00000000804.14
3140,1700125H20Rik,ENSMUSG00000018479.12
3141,Appbp2,ENSMUSG00000018481.9
3142,Appbp2os,ENSMUSG00000085628.4
3143,Ppm1d,ENSMUSG00000020525.17
3144,Bcas3,ENSMUSG00000059439.15
3145,Tbx2,ENSMUSG00000000093.6
3146,Gm11444,ENSMUSG00000069785.4
3147,Tbx4,ENSMUSG00000000094.12
3148,Brip1,ENSMUSG00000034329.16
3149,Brip1os,ENSMUSG00000085208.3
3150,Ints2,ENSMUSG00000018068.13
3151,Med13,ENSMUSG00000034297.14
3152,Rnft1,ENSMUSG00000020521.7
3153,Rps6kb1,ENSMUSG00000020516.15
3154,Tubd1,ENSMUSG00000020513.15
3155,Vmp1,ENSMUSG00000018171.9
3156,Ptrh2,ENSMUSG00000072582.9
3157,Cltc,ENSMUSG00000047126.17
3158,Dhx40,ENSMUSG00000018425.18
3159,Ypel2,ENSMUSG00000018427.8
3160,Gdpd1,ENSMUSG00000061666.6
3161,Gm11479,ENSMUSG00000085991.1
3162,Smg8,ENSMUSG00000020495.13
3163,Prr11,ENSMUSG00000020493.8
3164,Ska2,ENSMUSG00000020492.11
3165,Gm11491,ENSMUSG00000085310.7
3166,Trim37,ENSMUSG00000018548.15
3167,Ppm1e,ENSMUSG00000046442.4
3168,Rad51c,ENSMUSG00000007646.13
3169,Tex14,ENSMUSG00000010342.16
3170,Sept4,ENSMUSG00000020486.19
3171,Mtmr4,ENSMUSG00000018401.17
3172,Hsf5,ENSMUSG00000070345.3
3173,Rnf43,ENSMUSG00000034177.15
3174,Supt4a,ENSMUSG00000020485.14
3175,Mir142hg,ENSMUSG00000084796.1
3176,Tspoap1,ENSMUSG00000034156.16
3177,Lpo,ENSMUSG00000009356.12
3178,Mks1,ENSMUSG00000034121.12
3179,Epx,ENSMUSG00000052234.2
3180,Dynll2,ENSMUSG00000020483.14
3181,Gm11508,ENSMUSG00000086193.1
3182,Srsf1,ENSMUSG00000018379.17
3183,Gm15892,ENSMUSG00000087373.7
3184,Vezf1,ENSMUSG00000018377.10
3185,Cuedc1,ENSMUSG00000018378.13
3186,Mrps23,ENSMUSG00000023723.17
3187,Gm38534,ENSMUSG00000108634.1
3188,Ccdc182,ENSMUSG00000034031.5
3189,Msi2,ENSMUSG00000069769.13
3190,C030037D09Rik,ENSMUSG00000087574.1
3191,Gm11493,ENSMUSG00000085646.1
3192,Akap1,ENSMUSG00000018428.15
3193,Scpep1,ENSMUSG00000000278.10
3194,Coil,ENSMUSG00000033983.14
3195,Gm11496,ENSMUSG00000085152.1
3196,Trim25,ENSMUSG00000000275.16
3197,Dgke,ENSMUSG00000000276.11
3198,Dgkeos,ENSMUSG00000063109.13
3199,Gm525,ENSMUSG00000072553.10
3200,Nog,ENSMUSG00000048616.4
3201,Gm2018,ENSMUSG00000085798.1
3202,Ankfn1,ENSMUSG00000047773.15
3203,Pctp,ENSMUSG00000020553.8
3204,Tmem100,ENSMUSG00000069763.3
3205,Gm45716,ENSMUSG00000110344.1
3206,Mmd,ENSMUSG00000003948.17
3207,Hlf,ENSMUSG00000003949.16
3208,Stxbp4,ENSMUSG00000020546.14
3209,Cox11,ENSMUSG00000020544.14
3210,Tom1l1,ENSMUSG00000020541.12
3211,Car10,ENSMUSG00000056158.14
3212,Utp18,ENSMUSG00000054079.12
3213,Mbtd1,ENSMUSG00000059474.13
3214,Nme2,ENSMUSG00000020857.11
3215,Nme1,ENSMUSG00000037601.11
3216,Spag9,ENSMUSG00000020859.16
3217,B230206L02Rik,ENSMUSG00000086003.7
3218,Tob1,ENSMUSG00000037573.5
3219,Wfikkn2,ENSMUSG00000044177.4
3220,Gm21885,ENSMUSG00000094091.3
3221,Luc7l3,ENSMUSG00000020863.15
3222,Ankrd40,ENSMUSG00000020864.13
3223,Abcc3,ENSMUSG00000020865.16
3224,Cacna1g,ENSMUSG00000020866.17
3225,Spata20,ENSMUSG00000020867.13
3226,Epn3,ENSMUSG00000010080.15
3227,Mycbpap,ENSMUSG00000039110.14
3228,Rsad1,ENSMUSG00000039096.10
3229,Acsf2,ENSMUSG00000076435.3
3230,Lrrc59,ENSMUSG00000020869.8
3231,Eme1,ENSMUSG00000039055.4
3232,Mrpl27,ENSMUSG00000024414.13
3233,Xylt2,ENSMUSG00000020868.15
3234,Gm11542,ENSMUSG00000085051.1
3235,Cdc34b,ENSMUSG00000020870.7
3236,Col1a1,ENSMUSG00000001506.10
3237,Sgca,ENSMUSG00000001508.15
3238,Ppp1r9b,ENSMUSG00000038976.12
3239,Samd14,ENSMUSG00000047181.12
3240,Pdk2,ENSMUSG00000038967.13
3241,Itga3,ENSMUSG00000001507.16
3242,Dlx3,ENSMUSG00000001510.8
3243,Dlx4,ENSMUSG00000020871.8
3244,Dlx4os,ENSMUSG00000086552.3
3245,Tac4,ENSMUSG00000020872.4
3246,Kat7,ENSMUSG00000038909.16
3247,Gm11520,ENSMUSG00000085143.1
3248,Gm11521,ENSMUSG00000085509.1
3249,Fam117a,ENSMUSG00000038893.12
3250,Slc35b1,ENSMUSG00000020873.15
3251,Spop,ENSMUSG00000057522.15
3252,Nxph3,ENSMUSG00000046719.7
3253,Ngfr,ENSMUSG00000000120.6
3254,Phb,ENSMUSG00000038845.11
3255,Gm9796,ENSMUSG00000045075.3
3256,Zfp652os,ENSMUSG00000086191.1
3257,Zfp652,ENSMUSG00000075595.9
3258,Abi3,ENSMUSG00000018381.15
3259,Gngt2,ENSMUSG00000038811.13
3260,Gm11527,ENSMUSG00000085578.1
3261,4833417C18Rik,ENSMUSG00000086015.1
3262,B4galnt2,ENSMUSG00000013418.8
3263,Igf2bp1,ENSMUSG00000013415.9
3264,Snf8,ENSMUSG00000006058.10
3265,Ube2z,ENSMUSG00000014349.7
3266,Atp5g1,ENSMUSG00000006057.15
3267,Calcoco2,ENSMUSG00000006056.13
3268,Ttll6,ENSMUSG00000038756.13
3269,Hoxb4,ENSMUSG00000038692.8
3270,Hoxb1,ENSMUSG00000018973.2
3271,Skap1,ENSMUSG00000057058.16
3272,Snx11,ENSMUSG00000020876.14
3273,Cbx1,ENSMUSG00000018666.13
3274,Nfe2l1,ENSMUSG00000038615.17
3275,Copz2,ENSMUSG00000018672.15
3276,Gm11523,ENSMUSG00000087117.8
3277,Cdk5rap3,ENSMUSG00000018669.14
3278,D030028A08Rik,ENSMUSG00000078700.10
3279,Pnpo,ENSMUSG00000018659.12
3280,Sp2,ENSMUSG00000018678.13
3281,Gm11532,ENSMUSG00000087067.1
3282,Scrn2,ENSMUSG00000020877.11
3283,Lrrc46,ENSMUSG00000020878.6
3284,Mrpl10,ENSMUSG00000001445.10
3285,Osbpl7,ENSMUSG00000038534.18
3286,Tbx21,ENSMUSG00000001444.2
3287,Tbkbp1,ENSMUSG00000038517.15
3288,Kpnb1,ENSMUSG00000001440.5
3289,Npepps,ENSMUSG00000001441.13
3290,Gm11592,ENSMUSG00000086680.2
3291,Mrpl45,ENSMUSG00000018882.12
3292,Gpr179,ENSMUSG00000070337.4
3293,Socs7,ENSMUSG00000038485.6
3294,Arhgap23,ENSMUSG00000049807.16
3295,Srcin1,ENSMUSG00000038453.17
3296,Epop,ENSMUSG00000043439.5
3297,Gm11613,ENSMUSG00000085586.1
3298,Mllt6,ENSMUSG00000038437.11
3299,Cisd3,ENSMUSG00000078695.8
3300,Pcgf2,ENSMUSG00000018537.16
3301,Psmb3,ENSMUSG00000069744.7
3302,Pip4k2b,ENSMUSG00000018547.8
3303,Cwc25,ENSMUSG00000018541.10
3304,1700001P01Rik,ENSMUSG00000018543.8
3305,Rpl23,ENSMUSG00000071415.6
3306,Lasp1,ENSMUSG00000038366.15
3307,B230217C12Rik,ENSMUSG00000050538.8
3308,Fbxo47,ENSMUSG00000070336.3
3309,Gm11630,ENSMUSG00000086917.1
3310,Plxdc1,ENSMUSG00000017417.14
3311,Arl5c,ENSMUSG00000038352.15
3312,Cacnb1,ENSMUSG00000020882.17
3313,Gm11629,ENSMUSG00000086716.1
3314,Rpl19,ENSMUSG00000017404.12
3315,Stac2,ENSMUSG00000017400.10
3316,Fbxl20,ENSMUSG00000020883.18
3317,Med1,ENSMUSG00000018160.15
3318,Cdk12,ENSMUSG00000003119.14
3319,Gm20644,ENSMUSG00000093673.1
3320,Neurod2,ENSMUSG00000038255.6
3321,Ppp1r1b,ENSMUSG00000061718.12
3322,Stard3,ENSMUSG00000018167.10
3323,Tcap,ENSMUSG00000007877.2
3324,Pnmt,ENSMUSG00000038216.7
3325,Pgap3,ENSMUSG00000038208.13
3326,Erbb2,ENSMUSG00000062312.5
3327,Mien1,ENSMUSG00000002580.7
3328,Gm12352,ENSMUSG00000084835.1
3329,Grb7,ENSMUSG00000019312.10
3330,Zpbp2,ENSMUSG00000017195.15
3331,Ormdl3,ENSMUSG00000038150.7
3332,Gsdma,ENSMUSG00000017204.4
3333,Psmd3,ENSMUSG00000017221.14
3334,Csf3,ENSMUSG00000038067.2
3335,Med24,ENSMUSG00000017210.14
3336,Thra,ENSMUSG00000058756.13
3337,Nr1d1,ENSMUSG00000020889.11
3338,Msl1,ENSMUSG00000052915.14
3339,Gm12359,ENSMUSG00000075576.12
3340,Casc3,ENSMUSG00000078676.9
3341,Rapgefl1,ENSMUSG00000038020.5
3342,Wipf2,ENSMUSG00000038013.14
3343,Cdc6,ENSMUSG00000017499.15
3344,Rara,ENSMUSG00000037992.16
3345,Top2a,ENSMUSG00000020914.17
3346,Igfbp4,ENSMUSG00000017493.12
3347,Tns4,ENSMUSG00000017607.9
3348,Smarce1,ENSMUSG00000037935.16
3349,Krt222,ENSMUSG00000035849.14
3350,Krt28,ENSMUSG00000055937.1
3351,Krt10,ENSMUSG00000019761.10
3352,Gm11940,ENSMUSG00000087692.1
3353,Krt12,ENSMUSG00000020912.4
3354,A830036E02Rik,ENSMUSG00000084890.1
3355,Krt20,ENSMUSG00000035775.2
3356,Krt15,ENSMUSG00000054146.8
3357,Krt19,ENSMUSG00000020911.14
3358,Krt9,ENSMUSG00000051617.3
3359,Eif1,ENSMUSG00000035530.13
3360,Hap1,ENSMUSG00000006930.15
3361,Jup,ENSMUSG00000001552.14
3362,Gm12348,ENSMUSG00000086031.1
3363,P3h4,ENSMUSG00000006931.15
3364,Fkbp10,ENSMUSG00000001555.10
3365,Nt5c3b,ENSMUSG00000017176.17
3366,Klhl10,ENSMUSG00000001558.5
3367,Klhl11,ENSMUSG00000048732.5
3368,Acly,ENSMUSG00000020917.17
3369,Ttc25,ENSMUSG00000006784.14
3370,Cnp,ENSMUSG00000006782.16
3371,Dnajc7,ENSMUSG00000014195.15
3372,Nkiras2,ENSMUSG00000017837.12
3373,Zfp385c,ENSMUSG00000014198.15
3374,Dhx58,ENSMUSG00000017830.15
3375,Kat2a,ENSMUSG00000020918.14
3376,Hspb9,ENSMUSG00000017832.2
3377,Rab5c,ENSMUSG00000019173.11
3378,Kcnh4,ENSMUSG00000035355.15
3379,Hcrt,ENSMUSG00000045471.4
3380,Ghdc,ENSMUSG00000017747.13
3381,Stat5b,ENSMUSG00000020919.11
3382,Stat5a,ENSMUSG00000004043.14
3383,Stat3,ENSMUSG00000004040.16
3384,Cavin1,ENSMUSG00000004044.9
3385,Atp6v0a1,ENSMUSG00000019302.16
3386,Naglu,ENSMUSG00000001751.9
3387,Hsd17b1,ENSMUSG00000019301.5
3388,Coasy,ENSMUSG00000001755.12
3389,Mlx,ENSMUSG00000017801.15
3390,Psmc3ip,ENSMUSG00000019303.14
3391,Retreg3,ENSMUSG00000017802.14
3392,Tubg1,ENSMUSG00000035198.9
3393,Tubg2,ENSMUSG00000045007.9
3394,Plekhh3,ENSMUSG00000035172.15
3395,Cntnap1,ENSMUSG00000017167.6
3396,Ezh1,ENSMUSG00000006920.14
3397,Ramp2,ENSMUSG00000001240.13
3398,Vps25,ENSMUSG00000078656.11
3399,Wnk4,ENSMUSG00000035112.17
3400,Coa3,ENSMUSG00000017188.3
3401,Cntd1,ENSMUSG00000078653.4
3402,Becn1,ENSMUSG00000035086.13
3403,Psme3,ENSMUSG00000078652.9
3404,Aoc2,ENSMUSG00000078651.8
3405,Aarsd1,ENSMUSG00000075528.13
3406,Ptges3l,ENSMUSG00000097487.7
3407,Rundc1,ENSMUSG00000035007.5
3408,Rpl27,ENSMUSG00000063316.13
3409,Ifi35,ENSMUSG00000010358.13
3410,Vat1,ENSMUSG00000034993.7
3411,Rnd2,ENSMUSG00000001313.12
3412,Brca1,ENSMUSG00000017146.12
3413,Nbr1,ENSMUSG00000017119.19
3414,Tmem106a,ENSMUSG00000034947.13
3415,Gm11634,ENSMUSG00000085486.2
3416,Rdm1,ENSMUSG00000010362.9
3417,Arl4d,ENSMUSG00000034936.2
3418,Dhx8,ENSMUSG00000034931.15
3419,Etv4,ENSMUSG00000017724.14
3420,Meox1,ENSMUSG00000001493.9
3421,Sost,ENSMUSG00000001494.6
3422,Dusp3,ENSMUSG00000003518.13
3423,Mpp3,ENSMUSG00000052373.14
3424,E130111B04Rik,ENSMUSG00000087216.1
3425,Cd300lg,ENSMUSG00000017309.11
3426,Mpp2,ENSMUSG00000017314.12
3427,Tmem101,ENSMUSG00000020921.6
3428,Lsm12,ENSMUSG00000020922.11
3429,G6pc3,ENSMUSG00000034793.15
3430,Hdac5,ENSMUSG00000008855.17
3431,BC030867,ENSMUSG00000034773.16
3432,Asb16,ENSMUSG00000034768.4
3433,Tmub2,ENSMUSG00000034757.15
3434,Atxn7l3,ENSMUSG00000059995.12
3435,Ubtf,ENSMUSG00000020923.17
3436,Bloodlinc,ENSMUSG00000087330.1
3437,Rundc3a,ENSMUSG00000006575.14
3438,Slc25a39,ENSMUSG00000018677.9
3439,Grn,ENSMUSG00000034708.11
3440,Fam171a2,ENSMUSG00000034685.4
3441,Itga2b,ENSMUSG00000034664.13
3442,Gpatch8,ENSMUSG00000034621.14
3443,Gm11627,ENSMUSG00000078640.9
3444,Fzd2,ENSMUSG00000050288.6
3445,Gm11636,ENSMUSG00000086105.1
3446,2810433D01Rik,ENSMUSG00000086283.7
3447,Meioc,ENSMUSG00000051455.13
3448,Ccdc43,ENSMUSG00000020925.16
3449,Adam11,ENSMUSG00000020926.16
3450,Gjc1,ENSMUSG00000034520.14
3451,Higd1b,ENSMUSG00000020928.14
3452,Eftud2,ENSMUSG00000020929.14
3453,Ccdc103,ENSMUSG00000020930.9
3454,Fam187a,ENSMUSG00000075510.3
3455,Gfap,ENSMUSG00000020932.14
3456,Kif18b,ENSMUSG00000051378.10
3457,C1ql1,ENSMUSG00000045532.5
3458,2410004I01Rik,ENSMUSG00000085338.1
3459,Dcakd,ENSMUSG00000020935.8
3460,Nmt1,ENSMUSG00000020936.8
3461,Plcd3,ENSMUSG00000020937.14
3462,Acbd4,ENSMUSG00000056938.16
3463,Hexim1,ENSMUSG00000048878.6
3464,Hexim2,ENSMUSG00000043372.12
3465,Fmnl1,ENSMUSG00000055805.15
3466,1700023F06Rik,ENSMUSG00000020940.13
3467,Spata32,ENSMUSG00000044787.7
3468,Map3k14,ENSMUSG00000020941.7
3469,1700028N14Rik,ENSMUSG00000078635.3
3470,Arhgap27,ENSMUSG00000034255.17
3471,Arhgap27os2,ENSMUSG00000085360.1
3472,Arhgap27os1,ENSMUSG00000085733.1
3473,Plekhm1,ENSMUSG00000034247.9
3474,Gm39397,ENSMUSG00000110636.1
3475,Lrrc37a,ENSMUSG00000078632.4
3476,Rprml,ENSMUSG00000046215.3
3477,Gosr2,ENSMUSG00000020946.13
3478,C130046K22Rik,ENSMUSG00000085154.7
3479,Gm11642,ENSMUSG00000086794.1
3480,Wnt9b,ENSMUSG00000018486.2
3481,Wnt3,ENSMUSG00000000125.5
3482,Nsf,ENSMUSG00000034187.18
3483,Arf2,ENSMUSG00000062421.13
3484,Crhr1,ENSMUSG00000018634.10
3485,Mapt,ENSMUSG00000018411.17
3486,Kansl1,ENSMUSG00000018412.16
3487,Cdc27,ENSMUSG00000020687.13
3488,Myl4,ENSMUSG00000061086.12
3489,Itgb3,ENSMUSG00000020689.4
3490,Gm11639,ENSMUSG00000040838.10
3491,Mettl2,ENSMUSG00000020691.13
3492,1700052K11Rik,ENSMUSG00000099681.1
3493,Tlk2,ENSMUSG00000020694.17
3494,Mrc2,ENSMUSG00000020695.14
3495,March10,ENSMUSG00000078627.9
3496,Tanc2,ENSMUSG00000053580.16
3497,Cyb561,ENSMUSG00000019590.16
3498,Ace,ENSMUSG00000020681.14
3499,Kcnh6,ENSMUSG00000001901.15
3500,Dcaf7,ENSMUSG00000049354.8
3501,Gm11646,ENSMUSG00000085033.1
3502,Taco1os,ENSMUSG00000085255.1
3503,Taco1,ENSMUSG00000001983.7
3504,Map3k3,ENSMUSG00000020700.11
3505,Limd2,ENSMUSG00000040699.13
3506,Strada,ENSMUSG00000069631.14
3507,Ccdc47,ENSMUSG00000078622.8
3508,Ddx42,ENSMUSG00000020705.6
3509,Ftsj3,ENSMUSG00000020706.13
3510,Psmc5,ENSMUSG00000020708.12
3511,Smarcd2,ENSMUSG00000078619.10
3512,Tcam1,ENSMUSG00000020712.11
3513,Cd79b,ENSMUSG00000040592.11
3514,Prr29,ENSMUSG00000009210.10
3515,Icam2,ENSMUSG00000001029.15
3516,Ern1,ENSMUSG00000020715.9
3517,Tex2,ENSMUSG00000040548.16
3518,Pecam1,ENSMUSG00000020717.19
3519,Milr1,ENSMUSG00000040528.15
3520,Polg2,ENSMUSG00000020718.12
3521,Ddx5,ENSMUSG00000020719.14
3522,Cep95,ENSMUSG00000018372.13
3523,Smurf2,ENSMUSG00000018363.16
3524,Gm11707,ENSMUSG00000086481.1
3525,Kpna2,ENSMUSG00000018362.14
3526,1810010H24Rik,ENSMUSG00000078607.5
3527,Bptf,ENSMUSG00000040481.17
3528,Nol11,ENSMUSG00000018433.14
3529,Pitpnc1,ENSMUSG00000040430.18
3530,Gm11716,ENSMUSG00000086298.1
3531,Psmd12,ENSMUSG00000020720.13
3532,C330019F10Rik,ENSMUSG00000085864.1
3533,A830035A12Rik,ENSMUSG00000059706.4
3534,Helz,ENSMUSG00000020721.16
3535,Cacng1,ENSMUSG00000020722.5
3536,Cacng4,ENSMUSG00000020723.3
3537,Gm11650,ENSMUSG00000087184.1
3538,Cacng5,ENSMUSG00000040373.12
3539,Prkca,ENSMUSG00000050965.14
3540,Apoh,ENSMUSG00000000049.11
3541,Cep112,ENSMUSG00000020728.17
3542,Axin2,ENSMUSG00000000142.15
3543,E030025P04Rik,ENSMUSG00000078605.2
3544,Rgs9,ENSMUSG00000020599.13
3545,1700096J18Rik,ENSMUSG00000099630.1
3546,Gm11696,ENSMUSG00000056687.9
3547,Gna13,ENSMUSG00000020611.14
3548,9930022D16Rik,ENSMUSG00000045065.7
3549,Amz2,ENSMUSG00000020610.17
3550,Gm15642,ENSMUSG00000085326.1
3551,Slc16a6,ENSMUSG00000041920.14
3552,Arsg,ENSMUSG00000020604.13
3553,Wipi1,ENSMUSG00000041895.15
3554,Prkar1a,ENSMUSG00000020612.16
3555,Fam20a,ENSMUSG00000020614.13
3556,Abca8b,ENSMUSG00000020620.14
3557,Abca8a,ENSMUSG00000041828.15
3558,Abca9,ENSMUSG00000041797.7
3559,Abca6,ENSMUSG00000044749.13
3560,Abca5,ENSMUSG00000018800.14
3561,Map2k6,ENSMUSG00000020623.11
3562,Gm11682,ENSMUSG00000085985.1
3563,Kcnj16,ENSMUSG00000051497.15
3564,Kcnj2,ENSMUSG00000041695.2
3565,BC006965,ENSMUSG00000041674.16
3566,Sox9,ENSMUSG00000000567.5
3567,Gm11681,ENSMUSG00000075437.4
3568,4933434M16Rik,ENSMUSG00000020624.3
3569,2610035D17Rik,ENSMUSG00000087259.7
3570,4732490B19Rik,ENSMUSG00000085421.1
3571,Slc39a11,ENSMUSG00000041654.15
3572,Cog1,ENSMUSG00000018661.17
3573,Fam104a,ENSMUSG00000041629.7
3574,D11Wsu47e,ENSMUSG00000041623.17
3575,Cpsf4l,ENSMUSG00000018727.19
3576,Cdc42ep4,ENSMUSG00000041598.7
3577,Sdk2,ENSMUSG00000041592.16
3578,1700025D23Rik,ENSMUSG00000086760.1
3579,1700092K14Rik,ENSMUSG00000078600.1
3580,Gm11690,ENSMUSG00000085844.1
3581,4932435O22Rik,ENSMUSG00000062391.3
3582,Rpl38,ENSMUSG00000057322.12
3583,Ttyh2,ENSMUSG00000034714.9
3584,Dnaic2,ENSMUSG00000034706.16
3585,Kif19a,ENSMUSG00000010021.13
3586,Btbd17,ENSMUSG00000000202.9
3587,Gpr142,ENSMUSG00000034677.9
3588,Gprc5c,ENSMUSG00000051043.16
3589,Cd300a,ENSMUSG00000034652.12
3590,Cd300c,ENSMUSG00000058728.15
3591,Cd300ld,ENSMUSG00000034641.2
3592,Cd300c2,ENSMUSG00000044811.13
3593,Rab37,ENSMUSG00000020732.13
3594,Slc9a3r1,ENSMUSG00000020733.3
3595,Nat9,ENSMUSG00000015542.17
3596,Tmem104,ENSMUSG00000045980.13
3597,Grin2c,ENSMUSG00000020734.13
3598,Fdxr,ENSMUSG00000018861.8
3599,Fads6,ENSMUSG00000044788.10
3600,Otop2,ENSMUSG00000050201.9
3601,Otop3,ENSMUSG00000018862.11
3602,Hid1,ENSMUSG00000034586.14
3603,Cdr2l,ENSMUSG00000050910.5
3604,Mrpl58,ENSMUSG00000018858.15
3605,Atp5h,ENSMUSG00000034566.10
3606,Kctd2,ENSMUSG00000016940.18
3607,Trim80,ENSMUSG00000070332.4
3608,Slc16a5,ENSMUSG00000045775.15
3609,Armc7,ENSMUSG00000057219.11
3610,Nt5c,ENSMUSG00000020736.12
3611,Jpt1,ENSMUSG00000020737.12
3612,Sumo2,ENSMUSG00000020738.16
3613,Nup85,ENSMUSG00000020739.11
