,gene_name,gene_id
142,Coa5,ENSMUSG00000026112.7
143,Unc50,ENSMUSG00000026111.15
144,Mgat4a,ENSMUSG00000026110.15
145,2010300C02Rik,ENSMUSG00000026090.16
146,Tsga10,ENSMUSG00000060771.14
147,Gm26805,ENSMUSG00000097268.1
148,Lipt1,ENSMUSG00000037216.5
149,Mitd1,ENSMUSG00000026088.15
150,Mrpl30,ENSMUSG00000026087.11
151,Lyg2,ENSMUSG00000061584.6
152,Txndc9,ENSMUSG00000058407.12
153,Eif5b,ENSMUSG00000026083.12
154,Rev1,ENSMUSG00000026082.11
155,Aff3,ENSMUSG00000037138.18
156,Lonrf2,ENSMUSG00000048814.11
157,Chst10,ENSMUSG00000026080.13
158,Pdcl3,ENSMUSG00000026078.10
159,Npas2,ENSMUSG00000026077.15
160,Rpl31,ENSMUSG00000073702.11
161,Tbc1d8,ENSMUSG00000003134.10
162,Cnot11,ENSMUSG00000003135.15
163,Gm15832,ENSMUSG00000085894.1
164,Rnf149,ENSMUSG00000048234.13
165,Creg2,ENSMUSG00000050967.5
166,D930019O06Rik,ENSMUSG00000097083.1
167,Rfx8,ENSMUSG00000057173.8
168,1700066B17Rik,ENSMUSG00000101634.6
169,Map4k4,ENSMUSG00000026074.15
170,Il1r2,ENSMUSG00000026073.13
171,Il1r1,ENSMUSG00000026072.12
172,Il1rl2,ENSMUSG00000070942.8
173,Il1rl1,ENSMUSG00000026069.15
174,Slc9a4,ENSMUSG00000026065.8
175,Slc9a2,ENSMUSG00000026062.12
176,Gm37915,ENSMUSG00000103270.1
177,Mfsd9,ENSMUSG00000041945.12
178,Tmem182,ENSMUSG00000079588.3
179,4930448I06Rik,ENSMUSG00000104072.1
180,Gm29260,ENSMUSG00000100832.1
181,Gm9915,ENSMUSG00000053640.2
182,Gm28175,ENSMUSG00000101299.2
183,Gm28140,ENSMUSG00000100180.1
184,Pantr1,ENSMUSG00000060424.14
185,Gm20646,ENSMUSG00000093436.6
186,Pantr2,ENSMUSG00000097063.3
187,Dalir,ENSMUSG00000099784.1
188,Mrps9,ENSMUSG00000060679.14
189,Gpr45,ENSMUSG00000041907.9
190,Tgfbrap1,ENSMUSG00000070939.9
191,Gm28782,ENSMUSG00000100269.1
192,AI597479,ENSMUSG00000010290.7
193,Fhl2,ENSMUSG00000008136.14
194,Nck2,ENSMUSG00000066877.11
195,Ecrg4,ENSMUSG00000026051.8
196,Gm29155,ENSMUSG00000100764.1
197,Gm29156,ENSMUSG00000100480.1
198,Uxs1,ENSMUSG00000057363.12
199,Tpp2,ENSMUSG00000041763.14
200,Mettl21c,ENSMUSG00000047343.4
201,Gm8251,ENSMUSG00000091844.2
202,Tex30,ENSMUSG00000026049.11
203,Poglut2,ENSMUSG00000026047.13
204,Bivm,ENSMUSG00000041684.11
205,Ercc5,ENSMUSG00000026048.16
206,Mettl21e,ENSMUSG00000046828.3
207,Gm28893,ENSMUSG00000100769.1
208,Gulp1,ENSMUSG00000056870.9
209,Col3a1,ENSMUSG00000026043.18
210,Col5a2,ENSMUSG00000026042.16
211,Wdr75,ENSMUSG00000025995.16
212,Slc40a1,ENSMUSG00000025993.10
213,Dnah7b,ENSMUSG00000041144.11
214,Dnah7c,ENSMUSG00000101337.6
215,Slc39a10,ENSMUSG00000025986.6
216,4933411E06Rik,ENSMUSG00000099608.1
217,Tmeff2,ENSMUSG00000026109.14
218,Gm29325,ENSMUSG00000099625.1
219,9330175M20Rik,ENSMUSG00000101799.1
220,Cavin2,ENSMUSG00000045954.7
221,1700072G22Rik,ENSMUSG00000101702.1
222,Nabp1,ENSMUSG00000026107.11
223,Gm17767,ENSMUSG00000099413.1
224,Gm28055,ENSMUSG00000101741.1
225,Myo1b,ENSMUSG00000018417.14
226,Stat4,ENSMUSG00000062939.11
227,Gm31812,ENSMUSG00000109599.1
228,Stat1,ENSMUSG00000026104.14
229,Gls,ENSMUSG00000026103.14
230,Nab1,ENSMUSG00000002881.14
231,Nemp2,ENSMUSG00000043015.15
